,batting_average,batting_strike_rate,bowling_average,catches,economy,fifties,fours,fourw_haul,highest,hundreds,innings,matches,notout,player_id,player_name,player_nationality,runouts,runs,season,sixes,stumping,wickets
37,37.08,132.44,0,9,0,4,46,0,75*,0,15,15,3,14,Suresh Raina,Indian,2,445,2018,12,0,0
38,0,0,25.00,0,12.50,0,0,0,0*,0,0,2,0,4944,KM Asif,Indian,0,0,2018,0,0,3
39,32.00,139.13,23.50,1,6.71,0,0,0,22,0,2,4,1,1903,Mitchell Santner,New Zealander,0,32,2019,3,0,4
40,27.12,128.02,0,5,0,3,34,0,95,0,16,16,0,7,Murali Vijay,Indian,0,434,2011,20,0,0
41,1.00,33.33,19.40,4,6.15,0,0,0,2,0,2,16,0,8,Ravichandran Ashwin,Indian,0,2,2011,0,0,20
42,0,0,33.60,9,7.60,0,0,0,0*,0,1,15,1,10,Shadab Jakati,Indian,0,0,2011,0,0,10
43,0,300.00,26.93,4,9.23,0,3,0,15*,0,1,13,1,1745,Shardul Thakur,Indian,0,15,2018,0,0,16
44,8.00,88.88,0,0,0,0,0,0,8,0,1,1,0,4946,Dhruv Shorey,Indian,0,8,2018,1,0,0
45,32.40,125.58,0,1,0,1,17,0,67*,0,6,6,1,24,Faf du Plessis,South African,0,162,2018,6,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,Monu Kumar,Indian,0,0,2018,0,0,0
47,20.75,112.16,0,8,0,1,6,0,64,0,5,9,1,11,Srikkanth Anirudha,Indian,1,83,2011,3,0,0
48,56.57,126.51,0,1,0,5,38,0,71*,0,13,16,6,12,Subramaniam Badrinath,Indian,0,396,2011,9,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Sudeep Tyagi,Indian,0,0,2011,0,0,0
50,31.28,134.76,50.25,4,7.30,4,36,0,73*,0,16,16,2,14,Suresh Raina,Indian,0,438,2011,17,0,4
51,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Yo Mahesh,Indian,0,0,2011,0,0,0
52,35.25,154.94,38.07,9,9.96,1,8,0,68,0,10,16,6,25,Dwayne Bravo,West Indian,0,141,2018,10,0,14
53,0,0,0,0,0,0,0,0,0,0,0,0,0,4953,Kshitiz Sharma,Indian,0,0,2018,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,4954,Chaitanya Bishnoi,Indian,0,0,2018,0,0,0
55,0,0,22.25,3,9.36,0,0,0,0*,0,1,6,1,1118,Karn Sharma,Indian,1,0,2018,0,0,4
56,0,0,14.18,1,6.00,0,0,1,0*,0,0,7,0,3746,Lungi Ngidi,South African,0,0,2018,0,0,11
57,0,0,0,0,0,0,0,0,0,0,0,0,0,3811,Kanishk Seth,Indian,0,0,2018,0,0,0
58,39.64,154.59,41.83,3,8.96,2,44,0,117*,2,15,15,1,227,Shane Watson,Australian,1,555,2018,35,0,6
59,74.20,148.40,0,3,0,1,22,0,57*,0,15,16,10,1,MS Dhoni,Indian,2,371,2014,20,1,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,Matt Henry,New Zealander,0,0,2014,0,0,0
61,0,0,53.00,4,7.57,0,0,0,0*,0,0,13,0,1090,Ishwar Pandey,Indian,0,0,2014,0,0,6
62,15.00,100.00,27.31,1,7.30,0,4,0,14,0,6,16,3,8,Ravichandran Ashwin,Indian,1,45,2014,0,0,16
63,29.20,132.72,23.31,4,8.15,0,9,2,36*,0,10,16,5,9,Ravindra Jadeja,Indian,1,146,2014,5,0,19
64,31.15,121.62,0,6,0,3,32,0,71*,0,14,14,1,202,Brendon McCullum,New Zealander,2,405,2014,19,0,0
65,29.83,128.77,0,12,0,1,26,0,51*,0,17,19,5,1,MS Dhoni,Indian,3,358,2012,9,2,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Abhinav Mukund,Indian,0,0,2012,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ganapathi Vignesh,Indian,0,0,2012,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Joginder Sharma,Indian,0,0,2012,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Kuthethur Vasudevadas,Indian,0,0,2012,0,0,0
70,25.84,125.84,0,6,0,0,39,0,113,1,14,14,1,7,Murali Vijay,Indian,0,336,2012,10,0,0
