,Unnamed: 0,city,match,opponent,result,season,stadium,winner,final_result,win,lose
14,14,Hyderabad,Match 33,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 wickets,2019,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,lost,0,1
15,15,Navi Mumbai,2nd Semi-Final,Deccan Chargers,Chennai Super Kings won by 38 runs,2010,DY Patil Stadium,Chennai Super Kings,won,1,0
16,16,Dharamsala,Match 54,Kings XI Punjab,Chennai Super Kings won by 6 wickets,2010,HPCA Stadium,Chennai Super Kings,won,1,0
17,17,Delhi,Qualifier 1,Mumbai Indians,Chennai Super Kings won by 48 runs,2013,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
18,18,Bengaluru,Match 70,Royal Challengers Bangalore,Royal Challengers Bangalore won by 24 runs,2013,M. Chinnaswamy Stadium,Royal Challengers Bangalore,lost,0,1
19,19,Chennai,Match 64,Delhi Capitals,Chennai Super Kings won by 33 runs,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
20,20,Mumbai,Qualifier 1,Sunrisers Hyderabad,Chennai Super Kings won by 2 wickets,2018,Wankhede Stadium,Chennai Super Kings,won,1,0
21,21,Pune,Match 56,Kings XI Punjab,Chennai Super Kings won by 5 wickets,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
22,22,Delhi,Match 52,Delhi Capitals,Delhi Capitals won by 34 runs,2018,Feroz Shah Kotla Ground,Delhi Capitals,lost,0,1
23,23,Ranchi,Qualifier 2,Royal Challengers Bangalore,Chennai Super Kings won by 3 wickets,2015,JSCA International Cricket Stadium,Chennai Super Kings,won,1,0
24,24,Mumbai,Qualifier 1,Mumbai Indians,Mumbai Indians won by 25 runs,2015,Wankhede Stadium,Mumbai Indians,lost,0,1
25,25,Mohali,Match 53,Kings XI Punjab,Chennai Super Kings won by 7 wickets,2015,IS Bindra Stadium,Chennai Super Kings,won,1,0
26,26,Naya Raipur,Match 49,Delhi Capitals,Delhi Capitals won by 6 wickets,2015,Shaheed Veer Narayan Singh International Cricket Stadium,Delhi Capitals,lost,0,1
27,27,Chennai,Qualifier 2,Delhi Capitals,Chennai Super Kings won by 86 runs,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
28,28,Bengaluru,Eliminator,Mumbai Indians,Chennai Super Kings won by 38 runs,2012,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
29,29,Dharamsala,Match 66,Kings XI Punjab,Kings XI Punjab won by 6 wickets,2012,HPCA Stadium,Kings XI Punjab,lost,0,1
30,30,Kolkata,Match 63,Kolkata Knight Riders,Chennai Super Kings won by 5 wickets,2012,Eden Gardens,Chennai Super Kings,won,1,0
31,31,Mumbai,Eliminator,Mumbai Indians,Chennai Super Kings won by 7 wickets,2014,Brabourne Stadium,Chennai Super Kings,won,1,0
32,32,Bengaluru,Match 53,Royal Challengers Bangalore,Chennai Super Kings won by 8 wickets,2014,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
33,33,Ranchi,Match 50,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 wickets,2014,JSCA International Cricket Stadium,Sunrisers Hyderabad,lost,0,1
34,34,Kolkata,Match 47,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets,2014,Eden Gardens,Kolkata Knight Riders,lost,0,1
35,35,Kolkata,Match 29,Kolkata Knight Riders,Chennai Super Kings won by 5 wickets,2019,Eden Gardens,Chennai Super Kings,won,1,0
36,36,Jaipur,Match 25,Rajasthan Royals,Chennai Super Kings won by 4 wickets,2019,Sawai Mansingh Stadium,Chennai Super Kings,won,1,0
37,37,Chennai,Match 23,Kolkata Knight Riders,Chennai Super Kings won by 7 wickets,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
38,38,Chennai,Match 18,Kings XI Punjab,Chennai Super Kings won by 22 runs,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
39,39,Chennai,Match 50,Delhi Capitals,Delhi Capitals won by 6 wickets,2010,M. A. Chidambaram Stadium,Delhi Capitals,lost,0,1
40,40,Chennai,Match 48,Kolkata Knight Riders,Chennai Super Kings won by 9 wickets,2010,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
41,41,Nagpur,Match 42,Deccan Chargers,Deccan Chargers won by 6 wickets,2010,Vidarbha Cricket Association Stadium,Deccan Chargers,lost,0,1
42,42,Jaipur,Match 61,Rajasthan Royals,Rajasthan Royals won by 5 wickets,2013,Sawai Mansingh Stadium,Rajasthan Royals,lost,0,1
43,43,Hyderabad,Match 54,Sunrisers Hyderabad,Chennai Super Kings won by 77 runs,2013,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,won,1,0
44,44,Mumbai,Match 49,Mumbai Indians,Mumbai Indians won by 60 runs,2013,Wankhede Stadium,Mumbai Indians,lost,0,1
45,45,Johannesburg,2nd Semi-Final,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 wickets,2009,New Wanderers Stadium,Royal Challengers Bangalore,lost,0,1
46,46,Chennai,Final,Royal Challengers Bangalore,Chennai Super Kings won by 58 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
47,47,Navi Mumbai,Final,Rajasthan Royals,Rajasthan Royals won by 3 wickets,2008,DY Patil Stadium,Rajasthan Royals,lost,0,1
48,48,Pune,Match 46,Sunrisers Hyderabad,Chennai Super Kings won by 8 wickets,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
49,49,Jaipur,Match 43,Rajasthan Royals,Rajasthan Royals won by 4 wickets,2018,Sawai Mansingh Stadium,Rajasthan Royals,lost,0,1
